Below is a curated “last‑12‑months” (≈ **Feb 28, 2025 → Feb 28, 2026**, Asia/Taipei) paper scout for **AI Safety × NLP/Speech** across your 8 topics, prioritizing **arXiv + top venues** (NeurIPS/ICLR/ICML/ACL/EMNLP/Interspeech + workshops).

Notes:

* “Speech LLM / Audio LLM / LALM / ALLM” naming varies; I’m grouping by **end‑to‑end speech/audio ↔ text models** and **speech‑enabled agent stacks**.
* Where a topic is still sparse, I still give you the best matches in-window and call out gaps.

---

## 1) Speech jailbreak / audio prompt injection (5–10)

| Title                                                                                                                       |                        Venue / Date | Link                               | 2‑sentence summary                                                                                                                                                                                                                                                | Method type | Why it matters for AI safety                                                                                                                  | Limitations / gaps                                                                                                                                    |
| Minimizing the Reward Gap: A Unified Approach to LLM Safety Alignment                      |               arXiv (May 24, 2025) | arXiv ([arXiv][29])                 | Proposes alignment improvements by minimizing reward gaps, relevant when safety tuning causes uneven behavior across settings. Can be adapted to multilingual + speech domains as a mitigation strategy.                 | theory           | Could reduce “alignment tax” that differentially impacts non-English and speech settings.                            | Not audio-native; needs explicit tests for multilingual speech assistants and streaming constraints.              |

---

## 7) ASR‑mediated attack surface (5–10)

| Title                                                                            |         Venue / Date | Link                                    | 2‑sentence summary                                                                                                                                                                                       | Method type | Why it matters for AI safety                                                                                             | Limitations / gaps                                                                                                    |
| -------------------------------------------------------------------------------- | -------------------: | --------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------- | ------------------------------------------------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------------------------------------- |
| Breaking Audio LLMs by Attacking Only the Encoder (U‑TLSA)                       | arXiv (Dec 29, 2025) | arXiv ([arXiv][4])                      | Shows that manipulating encoder latents can drive targeted transcripts/commands without touching the language decoder. Emphasizes the vulnerability of the “ASR/encoder front-end” in modular systems.   | attack      | Many deployments treat the encoder/ASR as “just preprocessing”; this shows it can be the **primary attack surface**.     | Depends on access assumptions; needs black-box, over-the-air validations.                                             |
| Universal Acoustic Adversarial Attacks for Flexible Control of Speech‑LLMs       |  Findings EMNLP 2025 | ACL Anthology ([ACL Anthology][5])      | Universal acoustic perturbations can steer speech‑LLMs, effectively exploiting the speech recognition/encoding pathway. Demonstrates control beyond simple transcription corruption.                     | attack      | Shows ASR-mediated systems can be subverted even if the downstream LLM is aligned.                                       | Requires deeper study of robust front-ends (separation, robust SSL encoders) and deployment constraints.              |
| SPIRIT: Patching Speech Language Models against Jailbreak Attacks                |           EMNLP 2025 | ACL Anthology ([ACL Anthology][7])      | Identifies strong vulnerability of SLMs to imperceptible noise jailbreaks and proposes inference-time activation patching to mitigate. Emphasizes the vulnerability introduced by richer speech signals. | defense     | Practical mitigation that can sit “after ASR/encoder” to reduce jailbreak success while preserving utility.              | May not address failures caused by ASR mistranscriptions (semantic drift) rather than adversarial perturbations.      |
| Defending Speech‑enabled LLMs Against Adversarial Jailbreak Threats              |     Interspeech 2025 | ISCA PDF ([ISCA Archive][6])            | Uses adversarial training with synthetic harmful speech to protect speech-enabled LLMs. Targets perturbation-based attacks.                                                                              | defense     | Suggests data-efficient robustness training for ASR-mediated threats.                                                    | Risk of overfitting; unclear robustness to compositional/narrative attacks and real acoustic channels.                |
| Demystifying Hallucination in Speech Foundation Models                           |    ACL 2025 Findings | ACL Anthology PDF ([ACL Anthology][39]) | Studies hallucination and error modes in speech foundation models, including how non-speech or acoustic artifacts can distort outputs. Useful for understanding “silent failure” modes in ASR pipelines. | eval        | ASR hallucinations can turn benign queries into harmful ones or bypass policy filters—critical in high-stakes voice use. | Needs direct linkage to policy compliance and adversarial scenarios (prompt injection via hallucinated text).         |
| Investigating Safety Vulnerabilities of LALMs Under Speaker Emotional Variations | arXiv (Oct 19, 2025) | arXiv ([arXiv][40])                     | Studies how emotional speech variations change safety behavior/vulnerability of large audio-language models. Suggests paralinguistic properties can shift model responses and safety boundaries.         | eval        | ASR/encoder outputs depend on emotion/prosody; attackers can exploit that to induce unsafe behavior or misrouting.       | Needs integration with real ASR errors and conversational dynamics; defenses not fully explored.                      |
| MetaGuardian: Enhancing Voice Assistant Security through …                       | arXiv (Aug 13, 2025) | arXiv ([arXiv][41])                     | Proposes a security approach for voice assistants, with explicit attention to robust ASR and adversarial examples. Targets voice assistant threat models beyond text-only.                               | defense     | Voice assistants are a core deployment site; security measures that include ASR-level threats are essential.             | Details depend on implementation and evaluation breadth; needs replication on modern end-to-end audio LLM assistants. |
| Black‑Box Universal Adversarial Attack on Automatic Speech Recognition           |           ACM (2025) | ACM DL ([ACM Digital Library][42])      | Presents black-box universal adversarial attacks on ASR, relevant where an ASR front-end is used before LLM processing. Demonstrates that ASR can be manipulated even without white-box access.          | attack      | If ASR is compromised, safety filters and downstream LLM behavior can be indirectly compromised.                         | Often evaluated on ASR-only endpoints; needs explicit downstream LLM/agent impact measurements.                       |

---

## 8) Alignment tax in speech models (5–10)

| Title                                                                                              |                     Venue / Date | Link                                | 2‑sentence summary                                                                                                                                                                                                                                      | Method type | Why it matters for AI safety                                                                                                        | Limitations / gaps                                                                                                            |
| -------------------------------------------------------------------------------------------------- | -------------------------------: | ----------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------- | ----------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------- |
| Reshaping Representation Space to Balance Safety and Over‑rejection in Large Audio Language Models |            EMNLP 2025 (Nov 2025) | ACL Anthology ([ACL Anthology][43]) | Targets the **safety vs over‑refusal** tradeoff in LALMs by reshaping representation space to reduce harmful outputs while avoiding excessive refusal on benign queries. Explicitly frames audio‑specific safety alignment challenges.                  | defense     | Over‑refusal is a key “alignment tax” for speech assistants (user trust + utility) and this paper directly optimizes that tradeoff. | Still needs stress tests under adversarial audio and real conversational speech variability.                                  |
| SARSteer: Safe‑Ablated Refusal Steering                                                            |             arXiv (Oct 20, 2025) | arXiv ([arXiv][23])                 | Inference-time refusal steering adapted to audio inputs, aiming to reduce over-refusal while preserving refusal on harmful prompts. Addresses activation distribution gaps between text and audio.                                                      | defense     | Practical mitigation for alignment tax without retraining—a big deal for shipping voice assistants.                                 | May be sensitive to prompt/attack distribution shift; needs long-horizon dialogue and multilingual evaluation.                |
| Towards Reliable Large Audio Language Model                                                        | ACL 2025 Findings (Jul/Aug 2025) | ACL Anthology ([ACL Anthology][44]) | Studies methods (training-free and training-based) to make LALMs better at recognizing knowledge boundaries and refusing appropriately, proposing a new metric (RGI). Frames “reliability as meta-ability” transferable across audio modalities.        | eval        | Reliability improvements can reduce harmful hallucinations and unsafe confident answers—core safety goals.                          | “Refuse appropriately” is subtle; needs calibrated safety policies, adversarial testing, and user-centric utility measures.   |
| Aligning Spoken Dialogue Models from User Interactions                                             |       ICML 2025 (arXiv Jun 2025) | arXiv ([arXiv][18])                 | Uses preference alignment to improve safety/factuality in speech-to-speech dialogue models, implicitly navigating utility vs safety tradeoffs. Demonstrates improvements beyond single-turn, suggesting alignment effects in real-time speech dynamics. | defense     | One of the few speech-native alignment pipelines; a baseline for measuring alignment tax on speech naturalness/latency.             | Needs explicit measurement of tax (latency, prosody, interruption handling) and robustness against jailbreaks.                |
| Speech‑Hands (self‑reflection; avoids degradation from naïve multi‑task tuning)                    |                 arXiv (Jan 2026) | arXiv ([arXiv][22])                 | Motivated by evidence that naïve fine‑tuning on multiple audio tasks can **degrade performance**, it introduces a decision mechanism to prevent being misled by noisy hypotheses. Improves reliability across ASR and audio reasoning.                  | defense     | A concrete “alignment tax” symptom in speech: adding objectives can harm perception; explicit reflection is a mitigation.           | Not directly framed as safety alignment; needs mapping from reliability gains to policy compliance and refusal calibration.   |
| Mitigating the Safety Alignment Tax with Null‑Space Constrained Policy Optimization (NSPO)         |            OpenReview (Feb 2026) | OpenReview PDF ([OpenReview][45])   | Proposes projecting safety policy gradients into a null space of general-task gradients to preserve capabilities while aligning. A generic alignment‑tax mitigation idea that could be applied to speech models.                                        | theory      | If it transfers, it could reduce utility loss when safety-tuning speech assistants (ASR quality, latency, responsiveness).          | Not speech-specific; needs empirical validation on audio LLMs and speech-to-speech agents with speech-native utility metrics. |
| There Is More to Refusal in LLMs than a Single Direction                                           |              arXiv (Feb 2, 2026) | arXiv ([arXiv][46])                 | Analyzes refusal as a multi-dimensional phenomenon with measurable tradeoffs between accuracy, refusal rate, and over‑refusal, including tasks involving audio transcription. Provides tooling to quantify refusal/utility tradeoffs.                   | eval        | Gives a conceptual + measurement toolkit for refusal tax that can be ported into speech assistants.                                 | Mostly text-model analysis; requires speech-native replication with real audio inputs and conversational settings.            |
| Measuring Value Trade‑offs in LLM Alignment (Value Alignment Tax)                                  |             arXiv (Feb 12, 2026) | arXiv ([arXiv][47])                 | Proposes a framework to quantify how alignment interventions affect interconnected values, aiming to measure tradeoffs systematically. Can inform “alignment tax” measurement beyond simple accuracy.                                                   | theory      | Voice assistants interact with many values (privacy, safety, helpfulness); explicit tradeoff measurement is necessary.              | Needs grounding in speech-specific values (latency, prosody, turn-taking) and end-to-end agent tasks.                         |

---

# A) Top 10 must‑read papers overall (for AI Safety × Speech)

1. **Aegis: Towards Governance, Integrity, and Security of AI Voice Agents** ([arXiv][12])
2. **AudioJailbreak: Jailbreak Attacks against End-to-End Large Audio-Language Models** ([arXiv][1])
3. **WhisperInject / When Good Sounds Go Adversarial** ([arXiv][2])
4. **SACRED‑Bench + SALMONN‑Guard (Speech‑Audio Compositional Attacks)** ([arXiv][10])
5. **Audio Jailbreak (AJailBench)** ([arXiv][9])
6. **JALMBench** ([arXiv][8])
7. **AudioTrust** ([arXiv][21])
8. **Aligning Spoken Dialogue Models from User Interactions (ICML/ICLR-tier impact; ICML 2025)** ([arXiv][18])
9. **Process‑Supervised RL for Interactive Multimodal Tool‑Use Agents (TARL)** ([OpenReview][19])
10. **LALM‑as‑a‑Judge** ([arXiv][20])

---

# B) 5 under‑explored gaps + concrete experiment ideas

### 1) Realistic **over‑the‑air, multi‑speaker, streaming** audio prompt injection

**Gap:** Many attacks/benchmarks assume clean single‑speaker audio or offline processing; real assistants are streaming with interruptions and background speakers.
**Experiment idea:** Build a **streaming red‑team harness** where a benign user speaks while an attacker plays overlapping audio at varying SNRs/angles/distances (simulate call-center, smart speaker, in-car). Evaluate **(i)** attack success, **(ii)** false positives (benign refusal), **(iii)** latency impact, and **(iv)** robustness under different ASR front-ends vs end-to-end LALMs; include SACRED-style compositions as a baseline. ([arXiv][10])

### 2) “Speech‑native scalable oversight”: audio‑aware **reward models / judges** that read *sound*, not just transcripts

**Gap:** Safety judging is still largely text-first; transcript-only judges break under ASR errors and miss paralinguistics.
**Experiment idea:** Train/compare **audio+transcript judges** vs transcript-only using the LALM-as-a-Judge paradigm, then port to tool-use voice agents: measure judge calibration, adversarial robustness, and whether judge-guided RL causes reward hacking in speech. ([arXiv][20])

### 3) Mechanistic interpretability targeted at **jailbreak-trigger features** in audio encoders and cross-modal bridges

**Gap:** We can now patch/steer models, but we rarely know *which internal features* correspond to “harmful intent activation” vs “benign speech understanding.”
**Experiment idea:** Use SAE-style feature discovery (AR&D direction) on audio-encoder + bridge layers; run causal interventions (feature ablation / activation patching) and evaluate on jailbreak suites (AudioJailbreak, WhisperInject, narrative attacks, SACRED). Track utility metrics on WildSpeech-Bench to quantify alignment tax. ([arXiv][26])

### 4) Cross‑lingual + accent robustness under **code-switching speech**, not just text

**Gap:** Cross-lingual safety work is booming in text, but speech adds accent + phonetic similarity + ASR confusions, enabling unique jailbreak transfer.
**Experiment idea:** Create a multilingual spoken red‑team set with **code-switching + accent variations** (start from Code-Switching Red-Teaming + Multi‑Accent Jailbreaking, then collect real speech clips). Evaluate safety consistency and whether defenses over-refuse on minority-language inputs. ([arXiv][36])

### 5) A standardized “alignment tax” scoreboard for speech assistants

**Gap:** Alignment tax is mostly measured in text metrics; speech assistants need **latency, interruption handling, prosody naturalness, ASR WER drift, over-refusal**, and tool success under noise.
**Experiment idea:** Define a multi-metric suite: (a) refusal/over-refusal (Reshaping/SARSteer), (b) conversational phenomena (WildSpeech-Bench), (c) tool-use pass rate with speech simulation (TARL), (d) safety jailbreak resistance (AJailBench/JALMBench/SACRED). Run ablations of safety tuning knobs and publish Pareto frontiers. ([ACL Anthology][43])

---

# C) Novelty map: crowded vs sparse (and where to aim)

| Area                                         | What’s getting crowded (signals)                                                                                         | What’s still sparse                                                                         | High‑leverage “next papers”                                                                                  |
| -------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------ |
| Audio jailbreak / injection                  | Many strong attack variants: stealth, universal, narrative delivery, encoder-only, compositional scenes ([arXiv][1])     | Unified real‑world streaming eval; cross-device/room reproducibility                        | A standardized “over‑the‑air streaming” benchmark + defense bake-off                                         |
| Defenses for speech jailbreaks               | Early but growing: adversarial training + inference-time patching/steering ([ISCA Archive][6])                           | Defenses that generalize to **new** jailbreak styles and do not add over‑refusal            | Defense ensembles: separation/ASR-robustness + internal patching + audio-aware guard                         |
| Safety benchmarks (audio-native)             | Many benchmarks launching (jailbreak, omni safety, trustworthiness, natural speech eval, judge benchmarks) ([arXiv][21]) | Benchmarks that include **agentic tool use + real user audio + multilingual**               | “Agentic spoken safety suite”: tools + streaming + multilingual + adversaries                                |
| Scalable oversight for speech agents         | A few strong starts: preference alignment from speech interactions; process-supervised RL; LALM judges ([arXiv][18])     | Audio-native reward models/judges with robustness guarantees; anti-reward-hacking in speech | Robust “speech RM + judge” training with adversarial stress tests and audits                                 |
| Mechanistic interpretability for speech LLMs | First wave of mechanistic tooling + probes for audio models ([arXiv][26])                                                | Causal circuits for safety behaviors (refusal/jailbreak) and cross-modal bridges            | SAE + activation patching to *remove* jailbreak features while preserving utility                            |
| Cross‑lingual speech safety                  | Text-side is crowded; speech-specific is still thin beyond multi-accent jailbreak ([arXiv][48])                          | Speech-native code-switching + ASR-error safety; culturally grounded spoken safety eval     | Multilingual spoken red-teaming datasets + multilingual audio-guards                                         |
| Deception/scheming in voice agents           | Early signs: gaslighting attacks; real-world voice agent red-teaming ([arXiv][11])                                       | Speech-native “scheming” measurement + mitigation in tool-use agents                        | End-to-end evaluations where agents can socially engineer *and* take actions; defenses via policy+monitoring |

---

If you want, I can also:

* generate a **BibTeX pack** for everything above,
* cluster these papers into a **citation graph** (attack → benchmark → defense loops),
* or propose a **6-week experimental roadmap** optimized for publishable novelty in the sparse regions.

[1]: https://arxiv.org/abs/2505.14103 "https://arxiv.org/abs/2505.14103"
[2]: https://arxiv.org/abs/2508.03365 "https://arxiv.org/abs/2508.03365"
[3]: https://arxiv.org/abs/2601.23255 "https://arxiv.org/abs/2601.23255"
[4]: https://www.arxiv.org/abs/2512.23881 "https://www.arxiv.org/abs/2512.23881"
[5]: https://aclanthology.org/2025.findings-emnlp.990/ "https://aclanthology.org/2025.findings-emnlp.990/"
[6]: https://www.isca-archive.org/interspeech_2025/alexos25_interspeech.pdf "https://www.isca-archive.org/interspeech_2025/alexos25_interspeech.pdf"
[7]: https://aclanthology.org/2025.emnlp-main.734/ "https://aclanthology.org/2025.emnlp-main.734/"
[8]: https://arxiv.org/abs/2505.17568 "https://arxiv.org/abs/2505.17568"
[9]: https://arxiv.org/abs/2505.15406 "https://arxiv.org/abs/2505.15406"
[10]: https://arxiv.org/abs/2511.10222 "https://arxiv.org/abs/2511.10222"
[11]: https://arxiv.org/abs/2509.19858 "https://arxiv.org/abs/2509.19858"
[12]: https://arxiv.org/html/2602.07379v1 "https://arxiv.org/html/2602.07379v1"
[13]: https://arxiv.org/pdf/2504.13707 "https://arxiv.org/pdf/2504.13707"
[14]: https://www.arxiv.org/pdf/2601.06922 "https://www.arxiv.org/pdf/2601.06922"
[15]: https://arxiv.org/pdf/2509.04871 "https://arxiv.org/pdf/2509.04871"
[16]: https://aclanthology.org/2025.acl-long.1497.pdf "https://aclanthology.org/2025.acl-long.1497.pdf"
[17]: https://arxiv.org/html/2602.22253v1 "https://arxiv.org/html/2602.22253v1"
[18]: https://arxiv.org/abs/2506.21463 "https://arxiv.org/abs/2506.21463"
[19]: https://openreview.net/forum?id=UtEY8lF8q2 "https://openreview.net/forum?id=UtEY8lF8q2"
[20]: https://arxiv.org/abs/2602.04796 "https://arxiv.org/abs/2602.04796"
[21]: https://arxiv.org/abs/2505.16211 "https://arxiv.org/abs/2505.16211"
[22]: https://arxiv.org/abs/2601.09413 "https://arxiv.org/abs/2601.09413"
[23]: https://arxiv.org/abs/2510.17633 "https://arxiv.org/abs/2510.17633"
[24]: https://arxiv.org/abs/2510.07978 "https://arxiv.org/abs/2510.07978"
[25]: https://arxiv.org/abs/2512.10257 "https://arxiv.org/abs/2512.10257"
[26]: https://arxiv.org/html/2602.22554v1 "https://arxiv.org/html/2602.22554v1"
[27]: https://arxiv.org/html/2504.01094v1 "https://arxiv.org/html/2504.01094v1"
[28]: https://arxiv.org/pdf/2602.07963 "https://arxiv.org/pdf/2602.07963"
[29]: https://arxiv.org/abs/2504.01094 "https://arxiv.org/abs/2504.01094"
[30]: https://arxiv.org/html/2602.02557v1 "https://arxiv.org/html/2602.02557v1"
[31]: https://arxiv.org/pdf/2504.01094 "https://arxiv.org/pdf/2504.01094"
[32]: https://neurips.cc/virtual/2025/poster/121592 "https://neurips.cc/virtual/2025/poster/121592"
[33]: https://arxiv.org/abs/2508.07173 "https://arxiv.org/abs/2508.07173"
[34]: https://arxiv.org/abs/2506.21875 "https://arxiv.org/abs/2506.21875"
[35]: https://aclanthology.org/2025.emnlp-main.1447/ "https://aclanthology.org/2025.emnlp-main.1447/"
[36]: https://arxiv.org/html/2510.21244v2 "https://arxiv.org/html/2510.21244v2"
[37]: https://arxiv.org/html/2509.22651v1 "https://arxiv.org/html/2509.22651v1"
[38]: https://aclanthology.org/2025.naacl-long.470/ "https://aclanthology.org/2025.naacl-long.470/"
[39]: https://aclanthology.org/2025.findings-acl.1190.pdf "https://aclanthology.org/2025.findings-acl.1190.pdf"
[40]: https://www.arxiv.org/abs/2510.16893 "https://www.arxiv.org/abs/2510.16893"
[41]: https://arxiv.org/html/2508.09728 "https://arxiv.org/html/2508.09728"
[42]: https://dl.acm.org/doi/full/10.1145/3733799.3762974 "https://dl.acm.org/doi/full/10.1145/3733799.3762974"
[43]: https://aclanthology.org/2025.emnlp-main.510/ "https://aclanthology.org/2025.emnlp-main.510/"
[44]: https://aclanthology.org/2025.findings-acl.56/ "https://aclanthology.org/2025.findings-acl.56/"
[45]: https://openreview.net/pdf/443d2b6ac5edee6978e59f2c4eda4439bf9f4b2d.pdf "https://openreview.net/pdf/443d2b6ac5edee6978e59f2c4eda4439bf9f4b2d.pdf"
[46]: https://arxiv.org/html/2602.02132v1 "https://arxiv.org/html/2602.02132v1"
[47]: https://arxiv.org/html/2602.12134v1 "https://arxiv.org/html/2602.12134v1"
[48]: https://arxiv.org/html/2510.07978v1 "https://arxiv.org/html/2510.07978v1"
